premise_code,premise,address,premise_type,state,district
-1.0,,",",,,
2.0,PASAR BESAR IPOH,"JALAN LAKSAMANA,TAMAN JUBILEE,30300 IPOH, PERAK",Pasar Basah ,Perak,Kinta
3.0,JUSCO AYER KEROH,"LOT 4991,MUKIM BUKIT BARU,75450 LEBUH AYER KEROH, MELAKA",Pasar Raya / Supermarket,Melaka,Melaka Tengah
6.0,KEDAI RUNCIT TAFAZ MAJU PRESINT 9,"NO.5, JALAN P9B/1,PRESINT 9,62250 PUTRAJAYA",Kedai Runcit,W.P. Putrajaya,Wp Putrajaya
7.0,KEDAI RUNCIT SYAZ MAJU PRESINT 9,"NO.5, JALAN P9E/1,PRESINT 9,62250 PUTRAJAYA",Kedai Runcit,W.P. Putrajaya,Wp Putrajaya
8.0,PASAR MINI D'MART PRESINT 8,"BLOK A T00/U01,JALAN P8/D,PRESINT 8, 62000 PUTRAJAYA",Pasar Mini,W.P. Putrajaya,Wp Putrajaya
15.0,PASAR MINI KARIM,"NO, 7A,KAWASAN PASAR UTAN AJI,01000 KANGAR, PERLIS",Kedai Runcit,Perlis,Kangar
16.0,PASARAYA K-CERIA (KANGAR) SDN. BHD,"NO 3, 5, 7 & 9,JALAN KANGAR - ALOR SETAR SERIA B,01000 KANGAR, PERLIS",Pasar Raya / Supermarket,Perlis,Kangar
115.0,TAMPIN SHOPPING CENTRE,"NO 111,JALAN BESAR,73000 TAMPIN, NEGERI SEMBILAN.",Pasar Raya / Supermarket,Negeri Sembilan,Tampin
136.0,THE STORE ( PUDU PLAZA ),"UG & 1st FLOOR, PUDU PLAZA,JALAN DAVIS,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Cheras
141.0,HUDA GROCER,"LUCRATIVE BASE SDN. BHD.,NO.12-19 JALAN TERMINAL 1,PEKAN LAMA NILAI",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
149.0,RESTORAN SAPPHIRE INTAN,"PT 4686,TAMAN SEMARAK,71800 NILAI NEGERI SEMBILAN",Restoran India Muslim,Negeri Sembilan,Seremban
155.0,KEDAI MAKANAN DAN MINUMAN HORIZON,"NO. 5759 & 5760,JALAN TS 2/1F TAMAN SEMARAK 2,71800 NILAI, NEGERI SEMBILAN",Restoran Cina,Negeri Sembilan,Seremban
168.0,GIANT NILAI,"PT 6367,JALAN BBN 3/1PUTRA NILAI,71800 NILAI, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
176.0,LOTUS'S CHERAS,"NO. 2, JALAN MIDAH 2,TAMAN MIDAH,",Hypermarket,W.P. Kuala Lumpur,Cheras
179.0,RESTORAN AS-SALAM,"PT NO.20580,JALAN TS 2/1E TAMAN SEMARAK 2,71800 NILAI, NEGERI SEMBILAN",Restoran India Muslim,Negeri Sembilan,Seremban
183.0,GIANT SUPERMARKET KELANA JAYA,"JALAN SS 6/3,PUSAT BANDAR KELANA JAYA,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
186.0,KEE CHAI RESTORAN,"NO. 5796,TAMAN SEMARAK 2,71800 NILAI, NEGERI SEMBILAN",Restoran Cina,Negeri Sembilan,Seremban
229.0,KEDAI MKN INDIA MUSLIM-M.SHALMA BEEVI,"NO.3839,JALAN RASAH JAYA 6/8 TAMAN RASAH JAYA,70300 SEREMBAN, NEGERI SEMBILAN",Restoran India Muslim,Negeri Sembilan,Seremban
234.0,PASAR BASAH TUARAN,"PASAR BASAH TUARAN,89208 TUARAN, SABAH.,",Pasar Basah ,Sabah,Tuaran
239.0,FAMILY STORE RASAH JAYA,"NO. 3745 & 3746,JALAN RJ 6/12 TAMAN RASAH JAYA,70300 SEREMBAN, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
248.0,KEDAI MKN MELAYU-RESTORAN ANJUNG SELERA,"NO.597,JALAN HARUAN 4/8 PUSAT PERNIAGAAN OAKLAND,70300 SEREMBAN, NEGERI SEMBILAN",Restoran Melayu,Negeri Sembilan,Seremban
253.0,MEDAN SELERA AEON SEREMBAN 2,"AEON SEREMBAN 2,70300 SEREMBAN, NEGERI SEMBILAN,",Medan Selera,Negeri Sembilan,Seremban
261.0,TESCO SEREMBAN 2,"NO. 1,JLN HARUAN 2 BKT KEPAYANG,70300 SEREMBAN NEGERI SEMBILAN",Hypermarket,Negeri Sembilan,Seremban
266.0,KEDAI MKN CINA-RESTORAN MELIDO,"NO.1,JALAN UTAM SINGH,70000 SEREMBAN NEGERI SEMBILAN",Restoran Cina,Negeri Sembilan,Seremban
280.0,RESTORAN ALI BIDAYAH,"JALAN 1/13,TAMAN DATO' HARUN,46000 PETALING JAYA",Restoran India Muslim,Selangor,Petaling Jaya
322.0,PASAR AWAM TAIPING.,"JALAN KOTA & JALAN PASAR,34000 TAIPING,PERAK,",Pasar Basah ,Perak,"Larut, Matang & Selama"
326.0,KEDAI RUNCIT INANG PRESINT 14,"ARAS G, BLOK E (APARTMENT PRESINT 14,PRESINT 14,62300 PUTRAJAYA",Kedai Runcit,W.P. Putrajaya,Wp Putrajaya
327.0,FOOD COURT ALAMANDA (RASA) PRESINT 16,"ALAMANDA SHOPPING CENTRE, LOWER GROUND FLOOR,PRESINT 1, LOT LG 72-74, JALAN ALAMANDA,62000 PUTRAJAYA.",Foodcourt,W.P. Putrajaya,Wp Putrajaya
329.0,RESTORAN DARUSSALAM PRESINT 9,"JALAN P9E/1, PRESINT 9,62250 PUTRAJAYA.,",Restoran India Muslim,W.P. Putrajaya,Wp Putrajaya
330.0,TESCO SEKSYEN 13,"NO. 3,JALAN AEROBIK 13/43, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Hypermarket,Selangor,Petaling
333.0,"PASAR TANI, PRESINT 4","PASAR TANI KEKAL PUTRAJAYA,LEBUH SENTOSA,,PRESINT 4",Pasar Basah,W.P. Putrajaya,Wp Putrajaya
342.0,PASAR BASAH KUALA PERLIS,"KUALA PERLIS,02000 KUALA PERLIS,PERLIS.,",Pasar Basah ,Perlis,Kangar
343.0,LAYANGAN SHOPPER,"NO. 703,LAYANGAN SHOPPER,87000 WP LABUAN",Pasar Mini,W.P. Labuan,Kawasan Luar Bandar
349.0,ISHAH BINTONG ENTERPRISE,"LOT 2756, A&B,JALAN ABI TOK HASHIM,DATARAN GENTING BEHOR EMPIANG, 01000 KANGAR, PERLIS.",Kedai Runcit,Perlis,Kangar
351.0,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu
354.0,PASAR BESAR ALOR STAR,"BANGUNAN BESAR ,JALAN TUNKU ABDUL RAHMAN,05050 ALOR STAR",Pasar Basah ,Kedah,Kota Setar
361.0,PASAR UTAMA BINTULU,"144, JALAN ABANG GALAU,TAMAN SINONG,97000 BINTULU, SARAWAK",Pasar Basah ,Sarawak,Bintulu
364.0,PASAR BASAH TAMPARULI,"PASAR BASAH TAMPARULI,PEKAN DAERAH KECIL,89250 TAMPARULI, SABAH.",Pasar Basah ,Sabah,Tamparuli
365.0,HAP HUAT SUPERSTORE,"LOT 13-18,COURT LIGHT INDUSTRIAL PARK,87000 WP LABUAN",Pasar Raya / Supermarket,W.P. Labuan,Kawasan Luar Bandar
368.0,PASARAYA ECONJAYA KUALA KRAI,"LOT 126-131,JALAN CHIN HWA,KUALA KRAI",Pasar Raya / Supermarket,Kelantan,Kuala Krai
371.0,PASAR BASAH BAU,"PEKAN BAU,94000 BAU,SARAWAK.",Pasar Basah ,Sarawak,Bau
373.0,ENG HUP LEONG,"NO 13,KUALA SANGLANG,02700 ARAU, PERLIS.",Kedai Runcit,Perlis,Arau
375.0,BESERI MINI MARKET,"NO. 4,GERAI SWASTA, JALAN BUKIT KETERI,02400 BESERI, PERLIS",Pasar Mini,Perlis,Padang Besar
380.0,AEON BIG ALAMANDA,"LOWER GROUND FLOOR & GROUND FLOOR,ALAMANDA PUTRAJAYA SHOPPING CENTRE, PRESINT 1,62000 PUTRAJAYA",Hypermarket,W.P. Putrajaya,Wp Putrajaya
382.0,PASARAYA PKT PASIR TUMBOH,"G6582,LOT 11,KEDAI PASIR TUMBOH,",Pasar Raya / Supermarket,Kelantan,Kota Bharu
387.0,COLD STORAGE ALAMANDA,"ALAMANDA SHOPPING CENTRE, LOWER GROUND FLOOR,PRESINT 1, JALAN ALAMANDA,62000 PUTRAJAYA",Pasar Raya / Supermarket,W.P. Putrajaya,Wp Putrajaya
394.0,BILLION KOTA SERI MUTIARA,"KOTA SERI MUTIARA,LOT 97, SEKSYEN 21,JALAN PASIR PUTEH, KOTA BHARU",Pasar Raya / Supermarket,Kelantan,Kota Bharu
398.0,PASARAYA SALAMKU (PASIR PEKAN) S/B,"LOT 2444-2449,KG. BARU PASIR PEKAN,16250 WAKAF BHARU, KELANTAN",Pasar Raya / Supermarket,Kelantan,Tumpat
424.0,PASAR JALAN KLANG LAMA,"BATU 4 1/2,JALAN KLANG LAMA,",Pasar Basah ,W.P. Kuala Lumpur,Seputeh
429.0,AEON BIG ( WANGSA MAJU ),"NO.6, JALAN 8/27A,SEKSYEN 5, WANGSA MAJU,",Hypermarket,W.P. Kuala Lumpur,Setiawangsa
431.0,PASAR TANJUNG RAMBUTAN,"JALAN MAJLIS,SOUTH WARD,31250 TANJUNG RAMBUTAN, PERAK",Pasar Basah ,Perak,Kinta
433.0,PASAR GOPENG,"PEKAN GOPENG,31600, GOPENG PERAK,",Pasar Basah ,Perak,Kinta
434.0,PASAR BATU GAJAH,"BATU GAJAH,30200 BATU GAJAH, PERAK,",Pasar Basah ,Perak,Kinta
435.0,AEON BIG ( MID VALLEY ),"UNIT AT3,MID VALLEY MEGAMALL,LINGKARAN SYED PUTRA, MID VALLEY CITY,",Hypermarket,W.P. Kuala Lumpur,Lembah Pantai
438.0,PASARAYA ECONJAYA (GM) SDN. BHD.,"PT8361 - 8372,TAMAN WANGSA MEWANGI, JALAN PERSIARAN RAYA,GUA MUSANG",Pasar Raya / Supermarket,Kelantan,Gua Musang
439.0,PASARAYA ECONJAYA PASIR PUTEH,"BANDAR PASIR PUTEH,PASIR PUTEH,",Pasar Raya / Supermarket,Kelantan,Pasir Puteh
480.0,PASARAYA PANTAI TIMUR (BACHOK) SDN. BHD,"LOT 2076, MUKIM TEPUS,GUNUNG TIMUR,",Pasar Raya / Supermarket,Kelantan,Bachok
494.0,MERCATO ( SUNWAY PUTRA MALL ),"LOT LG1, LOWER GROUND FLOOR,SUNWAY PUTRA MALL,100, JALAN PUTRA,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Batu
499.0,KEDAI MAKAN DOLLAH DAN KELUARGA,"JALAN PASIR MAS SALOR,KOTA BHARU, KELANTAN.,",Restoran Melayu,Kelantan,Kota Bharu
506.0,PASARAYA ONG TAI KIM ( SENTUL ),"LOT A & B, SUB-BASEMENT, PLAZA SENTUL,NO.86, JALAN SENTUL,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Batu
524.0,PASAR BESAR TANAH MERAH,"JALAN DATO' NIK MUSTAFA,TANAH MERAH,KELANTAN,",Pasar Basah ,Kelantan,Tanah Merah
525.0,KEDAI RUNCIT KHALIJAH,"LOT 3640-A & 3640-B,KG. JEMBAL,TAWANG",Kedai Runcit,Kelantan,Bachok
527.0,PASAR BASAH AGRO SANTAN SEGAR,"JALAN ISMAIL PETRA,TANAH MERAH,KELANTAN,",Pasar Basah ,Kelantan,Tanah Merah
529.0,PASAR SEGAR PELADANG,"JALAN ISMAIL PETRA,TANAH MERAH,KELANTAN,",Pasar Basah ,Kelantan,Tanah Merah
541.0,EH NGIN A/L EH KAN,"LOT 2304,KG. JUBAKAR DARAT,",Kedai Runcit,Kelantan,Tumpat
544.0,RAHIM MINI MARKET,"NO. 190 A,JALAN PUTRI SAADONG,WAKAF BHARU, KELANTAN.",Pasar Mini,Kelantan,Tumpat
551.0,KEDAI RUNCIT YUSOF,"LOT 2997 , KELANTAN,NO. 2 KG CBG 3 BERANGAN,",Kedai Runcit,Kelantan,Tumpat
569.0,PASARAYA PANTAI TIMUR,"PANTAI TIMUR SHOPPING CENTRE,LOT 3225-3236 JALAN JEDOK,17500 TANAH MERAH,KELANTAN",Pasar Raya / Supermarket,Kelantan,Tanah Merah
582.0,RESTORAN KAK SITI,"NO.18,JALAN DELIMA 2, PUSAT PERDAGANGAN PONTIAN,82000 PONTIAN, JOHOR",Restoran Melayu,Johor,Pontian
585.0,PASAR AWAM PONTIAN,"JALAN KUKUP,82000 PONTIAN, JOHOR,",Pasar Basah ,Johor,Pontian
587.0,PASARAYA TUNAS MANJA,"LOT PTD 13142, JLN WAWASAN ½,TMN BANDAR BARU MERSING,86800 MERSING, JOHOR",Pasar Raya / Supermarket,Johor,Mersing
588.0,ECONSAVE CASH & CARRY PONTIAN,"NO.23, JALAN KOTA EMAS DUA,OFF TAMAN KOTA EMAS, JALAN JOHOR KANAN,PONTIAN KECHIL, 82000, JOHOR",Pasar Raya / Supermarket,Johor,Pontian
589.0,PASAR AWAM PEKAN NANAS,"PEKAN NANAS,81500 PONTIAN,",Pasar Basah ,Johor,Pontian
591.0,LOTUS`S SERI ALAM,"111515,JALAN SERI ALAM,BANDAR BARU SERI ALAM,",Hypermarket,Johor,Johor Bahru
592.0,MD SAMRY CAFE,"NO 15,JLN UTAMA 2, TAMAN UTAMA,81500 PEKAN NANAS, PONTIAN JOHOR.",Restoran Melayu,Johor,Pontian
595.0,RESTORAN RUSLI,"NO 1020,JALAN DATO' MOHD ALI,86900 ENDAU, JOHOR.",Restoran Melayu,Johor,Mersing
598.0,SYARIKAT PERNIAGAAN MESRA,"514 ,JALAN DATO' NIK MUSTAFA,TANAH MERAH KELANTAN",Pasar Mini,Kelantan,Tanah Merah
599.0,PASAR AWAM KOTA TINGGI,"JALAN NIAGA,81900 KOTA TINGGI, JOHOR.,",Pasar Basah ,Johor,Kota Tinggi
600.0,PASAR SITI HAJAR PASIR PUTEH,"BANDAR BARU PASIR PUTEH,JALAN BYPASS,16800 PASIR PUTIH, KELANTAN.",Pasar Basah ,Kelantan,Pasir Puteh
604.0,PASAR MINI KS CHU,"PT 5653 DESA BARAKAH,TANAH MERAH,KELANTAN,",Pasar Mini,Kelantan,Tanah Merah
605.0,PASARAYA KIP MART MASAI,"PERSIARAN DAHLIA,TAMAN BUKIT DAHLIA,81700 PASIR GUDANG, JOHOR.",Pasar Raya / Supermarket,Johor,Johor Bahru
609.0,AZALANNI BIN SENIN,"GERAI SETARA BARU,JALAN NIAGA,81900 KOTA TINGGI,JOHOR",Foodcourt,Johor,Kota Tinggi
620.0,RESTORAN ALONG TOMYAM,"JALAN PENGKALAN KUBOR,CABANG 4,16210 TUMPAT, KELANTAN.",Restoran Melayu,Kelantan,Tumpat
623.0,KEDAI RUNCIT KHANG,"NO 1 KUSIAL BARU,TANAH MERAH, KELANTAN,",Kedai Runcit,Kelantan,Tanah Merah
630.0,PASARAYA G-MART,"PASARAYA G-MART,PT 4953 JALAN TAMPIN,73400 GEMAS, N. SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Gemas
633.0,PASAR SENTRAL LABUAN,"JALAN BUNGA TANJUNG,87000 WILAYAH PERSEKUTUAN LABUAN,",Pasar Basah ,W.P. Labuan,Kawasan Bandar
638.0,SYARIKAT PERNIAGAAN BEEGAR,"28-29 JALAN HILIR PASAR,TANAH MERAH,KELANTAN,",Pasar Mini,Kelantan,Tanah Merah
656.0,FAMILY STORE SIKAMAT,"NO.10-12,LORONG DESA KIARA 2/3, TAMAN DESA KIARA,70400 SEREMBAN, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
658.0,RESTORAN PAYE CORNER,"PT 7951, SEBELAH MEDAN SELERA,MUKIM MANAL 1,JALAN JEDOK,TANAH MERAH KELANTAN",Restoran Melayu,Kelantan,Tanah Merah
659.0,FAIRUZ TOMYAM SEAFOOD,"SIMPANG TIGA,KAMPUNG GAAL,16800 PASIR PUTIH, KELANTAN.",Restoran Melayu,Kelantan,Pasir Puteh
660.0,PANTAI TIMUR SHOPPING CENTRE (RANTAU) SDN. BHD,"NO. 4171-4179,JALAN LEBUHRAYA,RANTAU PANJANG, KELANTAN",Pasar Raya / Supermarket,Kelantan,Pasir Mas
677.0,LUCKY RESTORAN,"NO 476 JALAN TASEK,TANAH MERAH,KELANTAN,",Restoran Cina,Kelantan,Tanah Merah
678.0,KOK MAJID MINI MARKET,"NO 187 PENGKALAN KOK MAJID,PALEKBANG,16040 TUMPAT, KELANTAN.",Kedai Runcit,Kelantan,Tumpat
679.0,KEDAI KAKI BUKIT MARAK,"LOT 1288,KG. BUKIT MARAK BEKELAM,16070 BACHOK, KELANTAN",Restoran Melayu,Kelantan,Bachok
683.0,RESTORAN N.B.M ENTERPRISE,"LOT 3247 TINGKAT BAWAH,JALAN ISMAIL PETRA,TANAH MERAH, KELANTAN.",Restoran Melayu,Kelantan,Tanah Merah
688.0,PERNIAGAAN AZ AKBAR,"KG ALOR PASIR,17500, TANAH MERAH, KELANTAN,",Kedai Runcit,Kelantan,Tanah Merah
691.0,MAZ JAYA ENTERPRISE,"LOT 1579 CABANG TIGA GERONG,PALEKBANG,",Kedai Runcit,Kelantan,Tumpat
693.0,PANJI REZEKI ENTERPRISE,"KAMPUNG ALOR HIJAU,16400, SELISING, KELANTAN.,",Pasar Mini,Kelantan,Pasir Puteh
698.0,KEDAI KOPI SOON LEONG,"LAZENDA SHOPHOUSE 87 LOT 15,PHASE III, JALAN OKK ABDULLAH,87007 W.P LABUAN.",Restoran Cina,W.P. Labuan,Kawasan Bandar
701.0,FOOD COURT FINANCIAL PARK,"GROUND FLOOR,FINANCIAL PARK COMPLEX,87000 W.P.LABUAN",Foodcourt,W.P. Labuan,Kawasan Bandar
708.0,RESTORAN NAFAS,"JALAN TASEK,17500 TANAH MERAH,KELANTAN.",Restoran Melayu,Kelantan,Tanah Merah
709.0,RESTORAN BUDIMAN 1,"JALAN TASEK,TANAH MERAH,KELANTAN,",Restoran Melayu,Kelantan,Tanah Merah
711.0,SELERA TEPI SUNGAI,"LOT 667,KAMPUNG TEPI SUNGAI,17500 TANAH MERAH, KELANTAN.",Restoran Melayu,Kelantan,Tanah Merah
717.0,KEDAI RUNCIT VG SHOP,"KG KEMAHANG 1,TANAH MERAH,KELANTAN,",Kedai Runcit,Kelantan,Tanah Merah
720.0,PANTAI TIMUR PINTU PONG,"PT 384-394,JALAN PINTU PONG,KOTA BHARU",Pasar Raya / Supermarket,Kelantan,Kota Bharu
723.0,RESTORAN SELESA,"NO 6 GERAI ORKED,JALAN PASIR MAS,17500 TANAH MERAH, KELANTAN.",Restoran Melayu,Kelantan,Tanah Merah
725.0,PANTAI TIMUR HYPERMARKET,"LOT PT 1114, PT1115 & PT1242,SEKSYEN 36, TAMAN BENDAHARA,JALAN PENGKALAN CHEPA, KOTA BHARU",Hypermarket,Kelantan,Kota Bharu
729.0,PACIFIC HYPERMARKET & DEPARTMENT STORE SDN BHD,"G-888 GROUND FLOOR KB MALL,JALAN HAMZAH,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu
731.0,WEE KIM GAN & SON,"LOT 2415,PENGKALAN DATU,16150 KOTA BHARU, KELANTAN.",Kedai Runcit,Kelantan,Kota Bharu
739.0,PASAR MINI SYARIKAT ALAMI,"LOT 2229 A&B,BATU 3 1/4,JALAN SALOR, DEPAN RTM, KOTA BHARU",Kedai Runcit,Kelantan,Kota Bharu
754.0,H&L SIBURAN,"EASTERN MALL,17TH MILE,JALAN KUCHING-SERIAN,SIBURAN",Pasar Raya / Supermarket,Sarawak,Serian
758.0,EVERRISE DEPARTMENTAL STORE SDN. BHD. (4TH MILE),"LOT 759,4TH MILE JALAN PENRISSEN,93250 KUCHING, SARAWAK.",Pasar Raya / Supermarket,Sarawak,Kuching
766.0,PASAR CHABANG EMPAT,"CHABANG 4,16210 TUMPAT,KELANTAN",Pasar Basah ,Kelantan,Tumpat
777.0,PASAR BESAR WAKAF BHARU,"16250 WAKAF BHARU,KELANTAN.,",Pasar Basah ,Kelantan,Tumpat
800.0,KEDAI RUNCIT RAZALI AWANG,"D/A KEDAI RUNCIT RAZALI AWANG 17000 PASIR MAS KELANTAN,LOT 2269KG. MERANTI,",Kedai Runcit,Kelantan,Pasir Mas
803.0,MAN PERMAI ENTERPRISE,"LOT 900,KAMPUNG LATI, LEMAL,PASIR MAS, KELANTAN.",Kedai Runcit,Kelantan,Pasir Mas
805.0,KEDAI RUNCIT AZAMAN,"LOT PT 285 & 286,KG. PENGKALAN BATU,PASIR MAS, KELANTAN.",Kedai Runcit,Kelantan,Pasir Mas
811.0,KEDAI KUIH MEK YOK,"KAMPUNG TERUMBU,DAERAH KANGKONG,PASIR MAS, KELANTAN.",Kedai Runcit,Kelantan,Pasir Mas
813.0,COMFORT MINI MARKET,"JALAN SARAWAK,02000 KUALA PERLIS,",Kedai Runcit,Perlis,Kangar
815.0,KEDAI RUNCIT AKIF,"LOT 688,KAMPUNG JIAS,PASIR MAS, KELANTAN.",Kedai Runcit,Kelantan,Pasir Mas
820.0,KEDAI RUNCIT CHUA HOCK PIAW,"LOT 1635,KEDAI CHEKOK, CHETOK,PASIR MAS, KELANTAN.",Kedai Runcit,Kelantan,Pasir Mas
834.0,SERVAY JAYA SUPERMARKET,"LOT B1-B8,ARSHAD SHOPPING COMPLEX, JALAN O.K.K. SODOMON,89000 KENINGAU, SABAH.",Pasar Raya / Supermarket,Sabah,Keningau
857.0,SABINDO SUPERMARKET TAMBUNAN,"KAMPUNG TOBOH,89650 TAMBUNAN, SABAH.,",Pasar Raya / Supermarket,Sabah,Tambunan
862.0,FUNG MEI NYEN RESTAURANT,"TW.D.T. NO 78,BLOK A, LOT 3,89657 TAMBUNAN, SABAH.",Restoran Cina,Sabah,Tambunan
864.0,GIANT HYPERMARKET PLENTONG,"NO.3 JALAN MASAI LAMA,MUKIM PLENTONG,81750 MASAI JOHOR",Hypermarket,Johor,Johor Bahru
872.0,JANNAD CURRY HOUSE,"LOT 9, BLOCK B,BEAUFORT JAYA BARU,89808 BEAUFORT, SABAH.",Restoran India Muslim,Sabah,Beaufort
873.0,BESTAMART (TENOM),"TENOM COMMERCIAL CENTRELOT 19,89950 PEKAN TENOM.,",Pasar Raya / Supermarket,Sabah,Tenom
879.0,KEDAI KOPI MAS JAYA,"P.O. BOX 98,98850 SIPITANG,SABAH.",Restoran Cina,Sabah,Sipitang
881.0,BESMI CURRY HOUSE,"NO 11,FLOOR NO 1, SIPITANG COMMERCIAL CENTRE,89850 SIPITANG, SABAH.",Restoran India Muslim,Sabah,Sipitang
889.0,"RESTORAN RASA SAYANG, TENOM","LOT NO. 16,TOWN SHOP PETI SURAT 136,89907 TENOM, SABAH.",Restoran Melayu,Sabah,Tenom
890.0,SAMA MAJU TRADING,"LOT NO. 1,PLAZA KUALA PENYU,89747 KUALA PENYU, SABAH",Kedai Runcit,Sabah,Kuala Penyu
891.0,CHI HIN RESTAURANT(MAKANAN CINA),"P.O. BOX NO. 252,89900 TENOM,SABAH.",Restoran Cina,Sabah,Tenom
895.0,"RESTORAN FATIMAH, TENOM","BLOK-R LOT 47,PETI SURAT 344,89908 TENOM, SABAH.",Restoran India Muslim,Sabah,Tenom
900.0,CHOP JIT SENG,"JALAN MARTIN LISTER,72000 KUALA PILAH, N.SEMBILAN.,",Kedai Runcit,Negeri Sembilan,Kuala Pilah
902.0,MELANG KOPITIAM,"NO 27, PUSAT KOMERSIAL MELANG,72000 KUALA PILAH,N.SEMBILAN.,",Restoran Melayu,Negeri Sembilan,Kuala Pilah
904.0,A. ABDUL HAMEED RESTORAN,"NO 164,JLN YAM TUAN,72000 KUALA PILAH, NEGERI SEMBILAN.",Restoran India Muslim,Negeri Sembilan,Kuala Pilah
906.0,UPWELL BAHAU,"UPWELL SUPERSTORE SDN. BHD.,NO 1 JALAN KEMPAS UTAMA,PUSAT PERNIAGAAN KEMPAS, BAHAU",Pasar Raya / Supermarket,Negeri Sembilan,Bahau
907.0,ECONSAVE CASH & CARRY (BH) SDN BHD. BAHAU,"NO. 18-26,JALAN DATO ½ BESAR,72100 BAHAU, N. SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Bahau
911.0,RESTORAN HIJJAS,"NO. 2, JALAN MAWAR 1,JALAN MAWAR 1, PUSAT PERNIAGAAN BAHAU,72100 BAHAU, N. SEMBILAN",Restoran India Muslim,Negeri Sembilan,Bahau
914.0,MILLION MINI MARKET,"NO 8, JALAN BESAR,ROMPIN,N.SEMBILAN,",Kedai Runcit,Negeri Sembilan,Rompin
917.0,RESTORAN CENDOL NOGORI,"NO 5361,TINGKAT BAWAH, JALAN SURIA,73500 ROMPIN, N.SEMBILAN.",Restoran Melayu,Negeri Sembilan,Rompin
920.0,PASAR AWAM GEMAS,"NO. 1,PASAR BESAR GEMAS,",Pasar Basah ,Negeri Sembilan,Gemas
923.0,REZEKI HANI,"NO. 3, SIMPANG KG. TIONG,73400 GEMASN.SEMBILAN,",Medan Selera,Negeri Sembilan,Gemas
925.0,GEMAS CURRY POINT,"NO. 13,JALAN STATION,73400 GEMAS, N. SEMBILAN",Restoran India Muslim,Negeri Sembilan,Gemas
930.0,PASARAYA ECONSAVE MUAR,"LOT 2459 JALAN HAJI JAIB,MUKIM JALAN BAKRI,84000 MUAR JOHOR",Pasar Raya / Supermarket,Johor,Muar
942.0,PASAR AWAM PAGOH,"J32,PASAR AWAM PAGOH,84600 PAGOH,MUAR",Pasar Basah ,Johor,Muar
949.0,RESTORAN TAN NYEK PENG,"JALAN MUAR,84900 TANGKAKJOHOR,",Restoran Cina,Johor,Muar
955.0,PASAR AWAM BATU PAHAT,"PASAR AWAM BATU PAHAT,JALAN IBRAHIM,83000 BATU PAHAT,JOHOR.",Pasar Basah ,Johor,Batu Pahat
962.0,PASAR MINI K.KUMARAN,"NO. 28,TAMAN TANGKAK JAYA,84900 TANGKAK,JOHOR",Pasar Mini,Johor,Muar
1000.0,LIAN YII MARKETING SDN.BHD.,"LOTS 1122 & 1123, BOTH OF BLOCKS 4, STD 95000 SRI AMAN, SARAWAK.,LOTS 1122 & 1123, BOTH OF BLOCKS 4, STD 95000 SRI AMAN, SARAWAK.,",Pasar Mini,Sarawak,Sri Aman
1010.0,REST SRI SIKUATI,"REST SRI SIKUATI 2,SHOP LOT NO 1,JAYA SHOPPING CENTRE,89059 KUDAT, SABAH.,",Restoran Melayu,Sabah,Kudat
1028.0,TAI FONG MARKETING,"TAI FONG GOLDSMITH & WATCHDEALER, NO 27,JLN LO THIEN CHOK, PETI SURAT 48,89057 KUDAT, SABAH",Kedai Runcit,Sabah,Kudat
1032.0,PASAR AWAM (KUALA KANGSAR),"33000 KUALA KANGSAR,PERAK,",Pasar Basah ,Perak,Kuala Kangsar
1043.0,PASAR AWAM (PADANG RENGAS),"JALAN BESAR,33700 PADANG RENGAS,PERAK",Pasar Basah ,Perak,Kuala Kangsar
1046.0,PASAR AWAM (PELADANG),"33800 MANONG,PERAK,",Pasar Basah ,Perak,Kuala Kangsar
1047.0,RESTORAN MING JI,"KAMPUNG SEPAKAT,81750 MASAI,PASIR GUDANG",Restoran Cina,Johor,Johor Bahru
1053.0,PASAR AWAM MASAI,"JALAN MASAI LAMA,KAMPUNG SEPAKAT,81750 MASAI, JOHOR.",Pasar Basah ,Johor,Johor Bahru
1054.0,MASLEE WHOLESALE C & C (PONTIAN) S/B,"NO.1, 1A, 1B-6, 6A, 6B & 15, 15B-19, 19A, 19B, LOT 2585, LORONG ABADI, PUSAT PERNIAGAAN JUTA, JALAN TEO KANG SUI DALAM 82000 PONTIAN, JOHOR.,",Pasar Raya / Supermarket,Johor,Pontian
